,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,current_time
3258754,109823,2021-02-01,SPXC 211015P80000,1,2021-10-15,,P,80000,26.8,30.0,0,0,0.462574,-0.801338,0.013548,12.48245,-4.031618,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.7013698630136986
3258882,109823,2021-02-02,SPXC 211015P80000,1,2021-10-15,,P,80000,25.7,28.0,0,0,0.407782,-0.829884,0.013735,11.52585,-3.284097,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6986301369863014
3259010,109823,2021-02-03,SPXC 211015P80000,1,2021-10-15,,P,80000,25.7,29.5,0,0,0.395698,-0.854558,0.01309,10.17803,-2.808785,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6958904109589041
3259138,109823,2021-02-04,SPXC 211015P80000,1,2021-10-15,,P,80000,26.0,28.9,0,0,0.417716,-0.83155,0.013533,11.27402,-3.316577,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6931506849315069
3259266,109823,2021-02-05,SPXC 211015P80000,1,2021-10-15,,P,80000,25.4,28.3,0,0,0.411611,-0.828475,0.013753,11.5147,-3.354775,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6904109589041096
3259394,109823,2021-02-08,SPXC 211015P80000,1,2021-10-15,,P,80000,24.9,27.2,0,0,0.424291,-0.804523,0.014243,12.69795,-3.862221,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6821917808219178
3259522,109823,2021-02-09,SPXC 211015P80000,1,2021-10-15,,P,80000,22.4,27.0,0,0,0.334348,-0.875479,0.013475,9.492468,-2.254205,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6794520547945205
3259650,109823,2021-02-10,SPXC 211015P80000,1,2021-10-15,,P,80000,25.0,28.5,0,0,0.453061,-0.789906,0.014079,13.09855,-4.298587,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6767123287671233
3259778,109823,2021-02-11,SPXC 211015P80000,1,2021-10-15,,P,80000,23.8,27.2,0,0,0.361599,-0.861464,0.013583,10.05307,-2.616292,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.673972602739726
3259906,109823,2021-02-12,SPXC 211015P80000,1,2021-10-15,,P,80000,23.6,27.1,0,0,0.336112,-0.885474,0.012904,8.761025,-2.117496,137341732,1,0,100,0,,,,,78473E10,SPXC,,0,1,,0,,SPX TECHNOLOGIES INC,,A,,0.6712328767123288
