,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,current_time
1233952,102480,2021-06-21,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,493.5,528.5,0,1,0.196978,0.315208,0.000128,4964.073,-463.6092,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.989041095890411
1247280,102480,2021-06-22,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,530.6,557.9,0,1,0.195356,0.330092,0.00013,5099.357,-472.2081,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9863013698630136
1260302,102480,2021-06-23,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,515.7,544.3,0,1,0.192452,0.327195,0.000132,5076.057,-464.6548,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9835616438356164
1274228,102480,2021-06-24,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,552.5,592.4,0,1,0.194887,0.342068,0.000132,5190.414,-482.5748,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9808219178082191
1288162,102480,2021-06-25,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,539.3,575.6,0,1,0.193641,0.337581,0.000133,5149.892,-477.018,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9780821917808219
1302156,102480,2021-06-28,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,616.6,648.6,0,1,0.196168,0.364706,0.000133,5339.703,-507.101,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9698630136986301
1315436,102480,2021-06-29,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,657.4,682.7,0,1,0.200165,0.37463,0.000132,5395.748,-524.1702,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9671232876712329
1329354,102480,2021-06-30,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,657.2,685.3,0,1,0.201837,0.373794,0.000131,5378.169,-529.0933,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9643835616438357
1344730,102480,2021-07-01,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,645.5,672.1,0,1,0.199367,0.371993,0.000132,5364.439,-522.8361,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9616438356164384
1359598,102480,2021-07-02,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,717.7,750.5,0,1,0.201707,0.39594,0.000132,5517.697,-544.1027,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.958904109589041
1375428,102480,2021-07-06,NDX 220617C15700000,1,2022-06-17,2021-05-20,C,15700000,757.1,788.5,0,1,0.205564,0.406014,0.00013,5543.604,-563.6583,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.947945205479452
1391060,102480,2021-07-07,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,771.3,801.5,3,1,0.206519,0.409727,0.00013,5556.788,-569.2191,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9452054794520548
1406674,102480,2021-07-08,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,748.8,779.5,0,2,0.209271,0.400274,0.000129,5484.341,-572.1257,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9424657534246575
1421840,102480,2021-07-09,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,766.9,802.0,0,2,0.205494,0.410747,0.000131,5549.991,-569.3751,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9397260273972603
1437061,102480,2021-07-12,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,789.4,819.0,0,2,0.206023,0.417411,0.000131,5565.229,-577.3279,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9315068493150684
1452115,102480,2021-07-13,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,791.0,822.2,0,2,0.206898,0.417635,0.000131,5556.688,-581.374,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9287671232876712
1466457,102480,2021-07-14,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,806.4,837.8,0,2,0.208089,0.421578,0.000131,5569.25,-587.3374,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9260273972602739
1480799,102480,2021-07-15,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,762.2,792.5,0,2,0.208245,0.407636,0.000131,5480.574,-581.0969,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9232876712328767
1493479,102480,2021-07-16,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,716.0,746.1,0,2,0.208341,0.392747,0.000131,5379.256,-573.571,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9205479452054794
1506381,102480,2021-07-19,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,671.0,708.5,0,2,0.210972,0.377323,0.000129,5246.172,-573.6094,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9123287671232877
1520329,102480,2021-07-20,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,729.7,764.6,0,2,0.208919,0.398776,0.000131,5386.373,-583.6724,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9095890410958904
1535173,102480,2021-07-21,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,761.7,787.6,0,2,0.205734,0.411156,0.000133,5460.903,-583.158,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.9068493150684932
